date,score_mean_10,sentiment_twitter_10,close,Year,Month,Week,Day,Dayofweek,Dayofyear,Is_month_end,Is_month_start,Is_quarter_end,Is_quarter_start,Is_year_end,Is_year_start
2019/6/14,0.09831,0.060140694,42.25,2019,6,24,14,4,165,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019/6/17,0.09831,0.112362394,43.096001,2019,6,25,17,0,168,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019/6/18,0,0.116824154,45.743999,2019,6,25,18,1,169,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019/6/19,0.12563,0.106249454,45.021999,2019,6,25,19,2,170,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019/6/20,0.09504,0.079678454,44.599998,2019,6,25,20,3,171,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019/6/21,0.06772,0.079595554,43.243999,2019,6,25,21,4,172,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019/6/24,-0.05857,0.062146414,44.647999,2019,6,26,24,0,175,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019/6/25,0,0.048549744,44.877998,2019,6,26,25,1,176,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019/6/26,-0.09269,0.05400301,44.062,2019,6,26,26,2,177,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019/6/27,0.00776,0.06676246,43.889999,2019,6,26,27,3,178,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019/6/28,-0.03621,0.06670321,44.198002,2019,6,26,28,4,179,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019/7/1,-0.04684,0.030031263,46.042,2019,7,27,1,0,182,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
2019/7/2,0,0.027927463,45.778,2019,7,27,2,1,183,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019/7/3,-0.04684,0.038741963,47.877998,2019,7,27,3,2,184,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019/7/5,0.01565,0.057064123,46.914001,2019,7,27,5,4,186,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019/7/8,0.05584,0.064746623,46.248001,2019,7,28,8,0,189,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019/7/9,0.06864,0.079303963,45.793999,2019,7,28,9,1,190,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019/7/10,0.12866,0.090404733,46.830002,2019,7,28,10,2,191,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019/7/11,0.1602,0.114899813,47.627998,2019,7,28,11,3,192,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019/7/12,0,0.111471353,47.950001,2019,7,28,12,4,193,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019/7/15,0.0663,0.138731533,49.599998,2019,7,29,15,0,196,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019/7/16,0.07542,0.16335548,49.860001,2019,7,29,16,1,197,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019/7/17,0,0.17831278,51.133999,2019,7,29,17,2,198,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019/7/18,0.06262,0.166590368,51.009998,2019,7,29,18,3,199,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019/7/19,0,0.159767398,51.138,2019,7,29,19,4,200,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019/7/22,0.06262,0.131374768,51.75,2019,7,30,22,0,203,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019/7/23,0,0.111437458,51.341999,2019,7,30,23,1,204,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
